username,rank,points
Raxxi,Owner,0
Olafs,Deputy Owner,0
Paw,Deputy Owner,0
eatmyshorts,Deputy Owner,0
Loafing,Deputy Owner,0
Siv HD,Overseer,0
Dan K,Overseer,0
GL0BAL,Overseer,0
Musician,Overseer,0
ROM0,Coordinator,0
Kronicitus,Coordinator,0
Elii,Organiser,0
T3HP1553D,Organiser,0
River Song 3,Organiser,0
Ball of Tar,Admin,0
SirGuthixx,Admin,0
Candy God,Admin,0
Carisa,Admin,0
Burner121,Admin,0
Maj1n Boo,Admin,0
Guardian Key,Admin,0
Recon Mystic,Admin,0
Apple Eater,Admin,0
MFS Loafing,Admin,0
Kratos,Admin,0
Lilspewez,Admin,0
Own Jue All,Admin,0
FeRaxxi,Admin,0
FePaw,Admin,0
Kangit6stuk,Admin,0
Miniyakkos,Admin,0
Wye,Admin,0
Dikke Dax,Admin,0
MyRsCrashed,Admin,0
Pollylop,Admin,0
de jappe,General,0
Dragonboehm,General,0
Ange1ofd3th,General,0
Darkminer238,General,0
Sadeyes1111,General,0
Cure Flora,General,0
D3thofAnge1,General,0
Porphyrius,General,0
Raivyn,Captain,0
Funkyfreak29,Captain,0
Lewis XD,Captain,0
Turds,Captain,0
Michael gab1,Captain,0
Triptsy,Captain,0
Of Yanille,Captain,0
Shinikami1,Captain,0
ImANoobNow,Captain,0
PC Bro,Captain,0
Ravnican393,Captain,0
tunz o money,Captain,0
FarizoR,Captain,0
KontPluisje,Captain,0
3ra,Captain,0
Big Bad Newb,Captain,0
Gordie Howe,Captain,0
Justinms159,Captain,0
Seale,Captain,0
EnjoySkating,Captain,0
Mikey M,Captain,0
Hayden B,Captain,0
Sinful Matty,Captain,0
xXD4KXx,Captain,0
Madame Bexy,Captain,0
InkoAmifumi,Captain,0
Nat-a-Lat,Captain,0
Sandes,Captain,0
Driftin,Captain,0
Kal Zah,Captain,0
Rangaw,Captain,0
Leetwelfare,Captain,0
King Flocka,Lieutenant,0
I Am Basic,Lieutenant,0
TraftonJohn,Lieutenant,0
SIayer xD,Lieutenant,0
EustisAnChll,Lieutenant,0
Rothchild,Lieutenant,0
Calquat Tree,Lieutenant,0
Tahael,Lieutenant,0
neptune07,Lieutenant,0
H6,Lieutenant,0
Darisian,Lieutenant,0
Qru Reds,Lieutenant,0
VIP Adrian,Lieutenant,0
Loafing v2,Lieutenant,0
Pagas,Sergeant,0
Jimbogun,Sergeant,0
Im Nicki,Sergeant,0
Slayerbane,Sergeant,0
I Like Jesus,Sergeant,0
Mo Magic10,Sergeant,0
xx bambino,Sergeant,0
XT Assassin,Sergeant,0
Watch me Max,Sergeant,0
TyNo PVM,Sergeant,0
Bbw Gengar,Sergeant,0
Treillage,Sergeant,0
Amanda Lee,Sergeant,0
Sha,Sergeant,0
Runedragonic,Sergeant,0
Mr Vibe,Sergeant,0
Lord Kryz,Sergeant,0
Cursed Black,Sergeant,0
Vaseth,Sergeant,0
HoBoKing 7,Sergeant,0
Zorto,Corporal,0
Alfreezy,Corporal,0
Myro Jalg,Corporal,0
Nightfallss,Corporal,0
Fuscus Terra,Corporal,0
zonta,Corporal,0
Eqt,Corporal,0
WrongChat0o,Corporal,0
Aphrade,Corporal,0
sjongstar,Corporal,0
Candy God Jr,Corporal,0
9jg,Corporal,0
WOMBO COMB0,Corporal,0
LonexViper,Corporal,0
SooCheap,Corporal,0
Mrs Asia,Corporal,0
Iron Dan K,Corporal,0
Pear God,Corporal,0
PvM Bandos,Corporal,0
xPVMxCHRISx,Corporal,0
RomanxEmpire,Corporal,0
Cure Mermaid,Corporal,0
DominusChaos,Corporal,0
x_king-astro,Corporal,0
LJennifer,Corporal,0
XcandyguyX,Corporal,0
Erka,Corporal,0
smiley pvm,Corporal,0
Jimmyhk,Corporal,0
Deysean,Corporal,0
